年份,月份,日期,市場,品名,平均價格(元/公斤),交易量(公斤)
2023,1,2023-01-01,台北一,香蕉,21.7,4272
2023,1,2023-01-01,台北二,香蕉,20.2,966
2023,1,2023-01-01,台中,香蕉,17.7,3944
2023,1,2023-01-01,高雄,香蕉,17.8,630
2023,1,2023-01-01,台北一,芒果,67.4,2933
2023,1,2023-01-01,台北二,芒果,53.7,1684
2023,1,2023-01-01,台中,芒果,52.5,4617
2023,1,2023-01-01,高雄,芒果,44.8,3404
2023,1,2023-01-01,台北一,荔枝,120.1,2547
2023,1,2023-01-01,台北二,荔枝,105.9,1475
2023,1,2023-01-01,台中,荔枝,98.0,3234
2023,1,2023-01-01,高雄,荔枝,104.0,2399
2023,1,2023-01-01,台北一,西瓜,15.7,3702
2023,1,2023-01-01,台北二,西瓜,16.2,1146
2023,1,2023-01-01,台中,西瓜,13.5,2935
2023,1,2023-01-01,高雄,西瓜,14.4,2561
2023,1,2023-01-01,台北一,柳橙,19.0,7612
2023,1,2023-01-01,台北二,柳橙,18.4,11235
2023,1,2023-01-01,台中,柳橙,17.9,14670
2023,1,2023-01-01,高雄,柳橙,17.0,5775
2023,1,2023-01-01,台北一,木瓜,27.7,2455
2023,1,2023-01-01,台北二,木瓜,24.8,3573
2023,1,2023-01-01,台中,木瓜,24.2,3113
2023,1,2023-01-01,高雄,木瓜,22.9,2000
2023,1,2023-01-01,台北一,鳳梨,26.3,661
2023,1,2023-01-01,台北二,鳳梨,24.3,1495
2023,1,2023-01-01,台中,鳳梨,23.7,3842
2023,1,2023-01-01,高雄,鳳梨,20.2,4298
2023,2,2023-02-01,台北一,香蕉,22.3,837
2023,2,2023-02-01,台北二,香蕉,20.6,4493
2023,2,2023-02-01,台中,香蕉,20.7,879
2023,2,2023-02-01,高雄,香蕉,17.4,2562
2023,2,2023-02-01,台北一,芒果,54.5,3068
2023,2,2023-02-01,台北二,芒果,66.1,2527
2023,2,2023-02-01,台中,芒果,54.9,891
2023,2,2023-02-01,高雄,芒果,57.5,4974
2023,2,2023-02-01,台北一,荔枝,103.2,3599
2023,2,2023-02-01,台北二,荔枝,119.0,3604
2023,2,2023-02-01,台中,荔枝,85.9,2954
2023,2,2023-02-01,高雄,荔枝,98.7,1304
2023,2,2023-02-01,台北一,西瓜,16.8,2070
2023,2,2023-02-01,台北二,西瓜,16.0,3190
2023,2,2023-02-01,台中,西瓜,15.9,1002
2023,2,2023-02-01,高雄,西瓜,14.9,1370
2023,2,2023-02-01,台北一,柳橙,15.1,10977
2023,2,2023-02-01,台北二,柳橙,13.7,6484
2023,2,2023-02-01,台中,柳橙,13.2,5863
2023,2,2023-02-01,高雄,柳橙,13.0,13755
2023,2,2023-02-01,台北一,木瓜,40.2,2178
2023,2,2023-02-01,台北二,木瓜,39.8,1559
2023,2,2023-02-01,台中,木瓜,38.5,2222
2023,2,2023-02-01,高雄,木瓜,34.7,3125
2023,2,2023-02-01,台北一,鳳梨,22.8,3560
2023,2,2023-02-01,台北二,鳳梨,24.7,4127
2023,2,2023-02-01,台中,鳳梨,21.6,2481
2023,2,2023-02-01,高雄,鳳梨,20.6,2029
2023,3,2023-03-01,台北一,香蕉,12.2,15429
2023,3,2023-03-01,台北二,香蕉,11.5,18688
2023,3,2023-03-01,台中,香蕉,11.8,11776
2023,3,2023-03-01,高雄,香蕉,11.3,10864
2023,3,2023-03-01,台北一,芒果,45.5,4913
2023,3,2023-03-01,台北二,芒果,45.4,1163
2023,3,2023-03-01,台中,芒果,52.0,3945
2023,3,2023-03-01,高雄,芒果,39.9,1995
2023,3,2023-03-01,台北一,荔枝,124.5,1791
2023,3,2023-03-01,台北二,荔枝,117.5,3957
2023,3,2023-03-01,台中,荔枝,129.3,2136
2023,3,2023-03-01,高雄,荔枝,104.6,3652
2023,3,2023-03-01,台北一,西瓜,12.0,1354
