日期,產品,平均價(元/公斤)
111/01/01,459 草莓 進口 ,735.1
111/01/01,469 藍莓 進口 ,30.6
111/01/01,839 櫻桃 進口 ,418.2
111/01/01,919 其他 進口 ,253.4
111/01/01,C9 柑橘 進口 ,266.7
111/01/01,F9 雜柑 進口 ,324.4
111/01/01,G49 奇異果 進口 ,47.7
111/01/01,O9 梨 其他進口 ,80.3
111/01/01,S49 葡萄 無子進口 ,79.4
111/01/01,S9 葡萄 進口 ,287.5
111/01/01,X09 蘋果 其他進口 ,126.7
111/01/01,X59 蘋果 紅玉進口 ,213.3
111/01/01,X69 蘋果 富士進口 ,87.3
111/01/01,Z39 柿子 柿餅進口 ,106.3
111/01/02,459 草莓 進口 ,796.5
111/01/02,469 藍莓 進口 ,30.1
111/01/02,839 櫻桃 進口 ,380.1
111/01/02,919 其他 進口 ,74.7
111/01/02,C9 柑橘 進口 ,290.7
111/01/02,F9 雜柑 進口 ,391.0
111/01/02,G49 奇異果 進口 ,68.2
111/01/02,O9 梨 其他進口 ,72.5
111/01/02,S49 葡萄 無子進口 ,85.4
111/01/02,S9 葡萄 進口 ,163.4
111/01/02,X09 蘋果 其他進口 ,158.8
111/01/02,X69 蘋果 富士進口 ,95.8
111/01/02,Z39 柿子 柿餅進口 ,117.7
111/01/04,459 草莓 進口 ,106.7
111/01/04,469 藍莓 進口 ,94.4
111/01/04,839 櫻桃 進口 ,407.7
111/01/04,C9 柑橘 進口 ,266.7
111/01/04,F9 雜柑 進口 ,179.0
111/01/04,G49 奇異果 進口 ,49.6
111/01/04,O9 梨 其他進口 ,79.1
111/01/04,S49 葡萄 無子進口 ,102.4
111/01/04,S9 葡萄 進口 ,68.4
111/01/04,X09 蘋果 其他進口 ,154.6
111/01/04,X59 蘋果 紅玉進口 ,154.1
111/01/04,X69 蘋果 富士進口 ,69.7
111/01/04,Y39 桃子 甜桃進口 ,85.6
111/01/04,Z39 柿子 柿餅進口 ,110.7
111/01/05,459 草莓 進口 ,591.0
111/01/05,469 藍莓 進口 ,125.4
111/01/05,839 櫻桃 進口 ,368.7
