"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","","","","1","52","2017-08-30","zh-cn"
"919755217121316864","ailaiyi5","wuming11xia","","","","0","0","2017-10-16","zh-cn"
"747292706536226816","牛小牛","gurevadona88","","","","23949","52","2016-06-27","zh-cn"
"q2SMGvHasu+nugbpNMDCjr2qlZp3FCiGYDLht+gW5pw=","q2SMGvHasu+nugbpNMDCjr2qlZp3FCiGYDLht+gW5pw=","q2SMGvHasu+nugbpNMDCjr2qlZp3FCiGYDLht+gW5pw=","","","","17","34","2016-08-08","es"
"907348345563303940","lishuishi","lishuishi","","","","0","0","2017-09-11","zh-tw"
"4057984825","前尘往事","baillopud5","California, USA","cool","","17116","76","2015-10-29","zh-tw"
"902780955181678592","George","sV8jxdXfJwDNZns","","","","0","39","2017-08-30","zh-cn"
"rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","","","","1","46","2017-08-18","ru"
"VKUbpwK26KYkbgT9BrofCzqDaS3YuGRD+mrwuYqTM=","VKUbpwK26KYkbgT9BrofCzqDaS3YuGRD+mrwuYqTM=","VKUbpwK26KYkbgT9BrofCzqDaS3YuGRD+mrwuYqTM=","","","","2","127","2018-07-13","en"
"EctgnoVCQq9JSnbI3BfSpllbTDT2KabrHxYdDwZetoE=","EctgnoVCQq9JSnbI3BfSpllbTDT2KabrHxYdDwZetoE=","EctgnoVCQq9JSnbI3BfSpllbTDT2KabrHxYdDwZetoE=","","","","12","64","2017-08-30","zh-cn"
"1124390982299136000","Delicia Venus","DeliciaVenus","","","","0","0","2019-05-03","en"
"898577922260430848","偌虹","RG4ax0bBuN19XZb","","","","0","34","2017-08-18","ru"
"884689848401047552","worldnewsnow","xinwenshijie","","","","23091","26","2017-07-11","zh-cn"
"QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","","","","1","8","2013-03-24","en"
"1081231923312295936","夜幕之光","Richard17700647","","","","0","0","2019-01-04","en"
"6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","","本推特只是追蹤郭文貴的新聞和動態， 謝謝關注。","","47","203","2013-03-29","zh-cn"
"1532024256","Christinz 🤦‍♀️ ‏","follfuncobers","UK","It is unacceptable that Toby got a backstory before Beth. Beth backstory better be flames. I’m not playing with you #ThisIsUs","","29208","200","2013-06-19","zh-cn"
"929960934877159424","阿狸粑粑","VeraSudzhenko","","","","0","18","2017-11-13","zh-cn"
"2HPG0CXHDfOb5A4FnaCUsI12HUruHzlrt5Bye5WcdI=","2HPG0CXHDfOb5A4FnaCUsI12HUruHzlrt5Bye5WcdI=","2HPG0CXHDfOb5A4FnaCUsI12HUruHzlrt5Bye5WcdI=","Santa Monica, CA","h4s4g30g","","10","39","2019-01-25","zh-tw"
"1064610348","旁观的渊明","sabohc","","","","21148","26","2013-01-06","zh-cn"
"747319777203363840","清风","osipodincov3","","","","12607","39","2016-06-27","zh-cn"
"2968192342","AngelaFisher40","AngelaFisher40","Manhattan, NY","AngelaFisher40","","17816","21138","2015-01-08","en"
"898930436373708802","Evgenianaumoval","Evgenianaumoval","","","","0","20","2017-08-19","zh-cn"
"2527996152","Ljsh Hgs","hGvsgsa","Berrien Springs, MI","Ellina Seleznv","","12919","184","2014-05-27","en-gb"
