year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,Less than 35,41.518158,16.170189,40.176853,5.9668593,1.9889532,7.9558129,.99447662,13.922672,5.9668593,1.9889532,3.9779065,31.823252,7.9558129,1.3922672,5.9668593,33.812202,121.32614,10.740347,62.652027,29.834297,39.779064,9.944766,17.122898,22.713846,87.513939,34.806683,9.944766,2.7845345,1.9889532,1.5911626,87.513939,37.790112,9.944766,6.5635457,1.9889532
1989,35-44,72.656776,112.4753,210.23235,28.839821,4.1768017,13.922672,.99447662,19.889532,7.9558129,7.9558129,5.9668593,35.801159,19.889532,5.9668593,11.933719,168.46434,159.11626,15.911626,99.447662,31.823252,109.39243,14.320463,55.690689,60.265282,79.558128,69.613365,13.922672,5.9668593,1.9889532,1.9889532,77.569176,29.834297,13.266317,3.9779065,3.9779065
1989,45-54,76.808594,195.1163,279.8457,37.193424,5.6685166,17.900579,.99447662,19.889532,9.944766,23.867437,9.944766,19.889532,33.812202,7.9558129,26.850868,214.80695,169.06102,19.491741,124.30957,69.613365,105.41452,15.911626,91.491844,47.734875,51.712784,39.779064,13.922672,1.9889532,1.9889532,5.9668593,49.723831,41.768017,11.933719,7.9558129,4.5745921
1989,55-64,51.897697,195.25554,243.48766,52.329357,6.722662,29.834297,3.9779065,69.613365,39.779064,49.723831,9.944766,139.22673,47.734875,9.944766,35.801159,186.96159,149.17149,13.922672,99.447662,63.646503,213.81247,23.867437,85.524986,18.895056,39.779064,67.624405,7.9558129,3.9779065,1.9889532,5.9668593,39.779064,37.790112,9.944766,3.9779065,1.9690636
1989,65-74,33.214527,154.34277,168.66322,38.685139,6.8618884,39.779064,3.9779065,69.613365,49.723831,35.801159,3.9779065,95.469749,29.834297,15.911626,47.734875,125.60239,109.39243,9.944766,69.613365,29.834297,99.447662,25.856392,79.558128,9.944766,17.900579,27.845345,5.9668593,3.9779065,1.0939243,3.9779065,19.889532,13.922672,7.9558129,7.9558129,1.6906102
1989,75 or older,26.986803,144.29855,163.45218,58.17688,9.944766,57.679642,5.9668593,59.668594,49.723831,59.668594,3.9779065,63.646503,31.823252,19.889532,49.723831,103.42557,109.39243,7.9558129,97.45871,79.558128,177.01683,16.508312,75.580223,5.8674121,13.922672,11.933719,5.9668593,1.9889532,.39779064,9.944766,21.878485,.019889532,5.9668593,,3.9779065
1992,Less than 35,43.971836,16.607798,42.011112,6.7754092,2.324019,8.0446806,.71508276,17.877069,3.5754137,4.4692674,3.3966429,35.754139,8.0446806,1.7877069,6.0782032,31.1061,123.35178,10.601102,57.206619,45.407753,33.966431,7.1508274,14.301655,18.627905,91.17305,30.391016,8.1519432,2.1452482,1.6446903,2.5027895,91.17305,16.089361,8.7597637,5.8994327,1.6446903
1992,35-44,64.125595,79.9105,175.19527,18.020084,3.6111679,8.9385347,1.0726241,35.754139,7.1508274,31.999952,6.2569742,14.301655,16.268133,5.3631206,13.407802,147.37856,160.89362,13.586572,63.463593,53.631207,53.631207,14.301655,34.145203,64.357445,98.323875,48.268085,9.0279198,3.2178724,2.1452482,5.3631206,92.960754,17.877069,11.441324,4.8268085,1.7877069
1992,45-54,75.118553,139.97745,220.06671,35.754139,5.3631206,14.301655,1.4301655,71.508278,17.877069,26.815603,8.0446806,35.754139,50.055794,8.9385347,26.815603,168.75952,160.89362,15.159754,116.20094,44.692673,125.13948,25.921749,66.145157,48.804398,71.508278,60.782032,8.4022226,8.9385347,2.7709455,5.3631206,67.932861,25.027897,9.2960758,6.4357448,2.324019
1992,55-64,53.132633,203.44104,252.06667,51.843498,5.3631206,26.815603,1.7877069,89.385345,23.240189,44.692673,11.977636,71.508278,53.631207,8.9385347,44.692673,190.39078,151.95508,14.837967,89.385345,62.56974,124.4244,17.877069,76.871391,34.145203,53.631207,35.754139,8.0446806,7.1508274,1.7877069,5.3631206,50.055794,17.877069,9.4748459,13.05026,2.6815603
